"ASDR per 100 000 - Total deaths, ICD chapter 4 (Endocrine, nutritional and metabolic diseases), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
New Zealand,,,,13.9,14.2,14.8,14.2,17.3,17.9,17.4,18.9,17.8,17.9,18.5,18.1,17.7,18.7,,,,,,,,,,,,,,,,,,,,, 
Nicaragua,,49.6,50.3,47,48.5,52.2,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Norway,,8.5,8.5,8.9,10.1,9.2,9.7,9.9,9.6,11,11.1,11.3,8.8,10.4,10.4,10.6,9.7,10.4,10.6,10.7,8.7,,,,,,,,,,,,,,,,, 
Occupied Palestinian Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Oman,,,27.3,,,,20,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Panama,,40.6,40.1,38.5,37.6,34.2,33.5,30.1,35.1,35,36.2,36.7,36.3,38.9,40.4,38.6,37.1,35.8,31.5,,,,,,,,,,,,,,,,,,, 
Paraguay,,,57.2,58.1,52.1,46.3,47.4,43.1,47,47.5,45.4,48.1,45.5,41.2,40.6,39.4,36.2,28.7,31.2,28.8,30.2,,,,,,,,,,,,,,,,, 
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Philippines,,,,,,53.9,55.3,58.8,62.1,59.6,60,,,49.3,49.8,48.4,44.1,41.9,,,,,,,,,,,,,,,,,,,, 
Poland,,11.5,10,11.1,10.9,10.5,10.4,11.1,11.3,11.1,11,10.3,10,10.4,10.4,10.5,11.1,11.4,,,,,,,,,,,,,,,,,,,, 
Portugal,,,18.8,20.2,21.7,20.5,21.4,21.8,21.1,22,,,,24.9,24,,,,,,,,,,,,,,,,,,,,,,, 
Puerto Rico,,55.5,62.8,60.9,61.3,63.2,60.3,59.4,60.5,57.7,55.4,60.4,61.1,56.4,56.3,57.5,55.4,57.6,,,,,,,,,,,,,,,,,,,, 
Qatar,24.3,36.6,45.7,41.2,41.2,61.2,52.1,77,51.6,62.3,71.5,76,62.1,,,80.1,,,,,,46.7,,,,,,,,,,,,,,,, 
