"ASDR per 100 000 - Total deaths, ICD chapter 13 (Diseases of the musculoskeletal system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Mauritius,1.4,2.2,2.5,1.4,2.1,1.9,2.3,2.3,2.8,1.9,1.8,1.6,1.1,1.3,1.5,1.4,1.5,1,0.5,0.7,1.1,0.5,0.6,0.4,0.3,0.4,1,1.7,1.2,0.9,1.4,1.9,1.4,1.4,1.4,1,, 
Mayotte,,,3.6,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,,3.9,4.3,4.7,4.8,4.7,5.1,4.9,5.1,4.9,3.9,4.1,3.7,3.8,3.7,3.9,4,4.7,4.8,3.5,3.9,4.4,4.5,4.1,4.5,4.3,4.6,4.8,5.3,6.2,6.4,6.2,4.4,7.4,6.9,6.4,4,4.4 
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mongolia,2.2,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,, 
Montenegro,,,,,,,,0.4,0.1,0,0.2,0.2,0.1,0.4,0,0.5,0.4,,,,,,,,,,,,,,,,,,,,, 
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Netherlands,2.8,2.6,2.7,2.8,2.4,2.3,2.5,2.3,2.3,2.4,2.8,2.6,2.6,2.9,3.2,3.2,2.9,3.3,3,3.2,3.4,3,3.3,3.1,3.3,3.4,3.5,3.9,3.9,3.5,3.2,3.1,3,3,2.9,2.8,2.7,2.5 
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
New Zealand,,,,2.7,3,3.2,3,3.3,3.2,3.4,3.8,3.6,3.3,3.7,4.1,3.8,3.7,3.2,3.5,2.9,3.1,2.8,2.9,3.3,3,2.8,3.2,3.2,3.3,3.4,3.7,3.1,3.2,3.1,3.4,3.7,3.9,4.3 
