"ASDR per 100 000 - Total deaths, ICD chapter 12 (Diseases of the skin and subcutaneous tissue), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Norway,,0.7,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,,,,,,, 
Occupied Palestinian Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Oman,,,3.8,,,,3.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Panama,,1.9,2.2,2.4,3.1,2.3,1.2,1.1,2.5,1.8,1.8,1.5,1.7,2,2.1,2.6,1.5,1.6,0.8,3.5,1.7,,,,,,,1.8,3.1,4.7,3.2,4,3,3.4,1.5,2.4,2.6,2.5 
Paraguay,,,1.3,1.4,1.2,1.2,0.6,0.5,0.5,0.5,0.6,1,1.1,1,1.3,0.9,0.7,0.1,0,0,0.2,0.1,0.2,,,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.1,0.3,0,0.3 
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Philippines,,,,,,3.2,3.5,3.9,4.1,4.3,4.1,,,3.7,3.8,4.1,4,3.5,2.9,2.9,2.9,2,2.5,2.3,1.3,,,,,,,,,,,,, 
Poland,,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.6, 
Portugal,,,0.5,0.3,0.3,0.3,0.1,0.2,0.1,0.2,,,,0.3,1.7,1.5,1,1.3,1.2,1,0.9,0.8,0.6,0.5,0.4,0.4,0.5,0.4,0.3,0.4,0.5,0.5,0.4,0.3,0.4,0.3,0.4, 
Puerto Rico,,3.3,3.2,2.9,3.1,3.1,2.8,2.5,2.2,2.6,2.6,2.8,2.5,2.6,2.9,2.7,2.7,3.1,3,2.4,2.3,2.4,2.1,2.1,2.2,2.5,2.4,2.7,2.4,1.9,1.9,1.4,1.4,1.3,1.5,1.5,1.2,1.9 
