"ASDR per 100 000 - Total deaths, ICD chapter 15 (Pregnancy, childbirth and the puerperium), female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Norway,,0,0.1,0.1,0,0.1,0.1,0,0.2,0.2,0.2,0.1,0,0.3,0.1,0.1,0.1,0.2,0.2,0,0,0.2,0,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,,,,,,, 
Occupied Palestinian Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Oman,,,0,,,,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Panama,,2,2.3,2.1,2.6,3.1,2.2,1.6,2.3,2.3,2.1,2.4,1.4,2,2.3,2.3,1.8,2,2,1.8,2.3,,,,,,,3.3,3,2,3.6,3.2,3,3.6,5.2,3.8,4.3,4.5 
Paraguay,,,2.1,3.1,2.8,3,3.3,4.1,4,4.2,4.5,4.9,5.8,5.7,6.5,5.3,5.8,4.3,4.2,4,4.9,4.8,5.2,,,6.1,5,5.2,5.8,6,8.1,9.1,10.3,11.1,10.4,9.7,12.5,13 
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Philippines,,,,,,3.2,3.8,3.6,4,3.9,4.1,,,4.6,4.7,4.7,4.7,3.6,4.5,4.4,4.7,4.6,5.4,5,4.8,,,,,,,,,,,,, 
Poland,,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.5, 
Portugal,,,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,,,,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.7, 
Puerto Rico,,0.8,0.2,0.1,0.1,0.3,0.3,0.6,0.3,0.6,0.2,0.3,0.7,0.4,0.3,0.3,0.8,0.5,0.4,0.7,0.6,0.5,0.3,0.5,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.4,0.3,0.3,0.5,0.8,0.4,0.4 
