"ASDR per 100 000 - Total deaths, ICD chapter 3 (Diseases of blood and immune mechanism), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Qatar,0.4,0.1,1.7,2.3,1.1,1.9,1.5,3.1,3.7,2.4,0.8,4.1,3,,,2.5,,,,,,3.7,,,,,,,,,,,,,,,, 
Republic of Korea,,1,0.9,1,1,0.9,1.1,1,0.9,1,0.9,0.9,1,1,1.1,1.1,1.2,1.2,1.2,1,1,1.1,,,,,,,,,,,,,,,, 
Republic of Moldova,0.4,0.6,0.4,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.8,0.3,0.4,0.6,0.5,0.5,0.8,0.6,0.6,0.8,0.8,,,,,,,,,,,,,,,,, 
Reunion,,,1.9,1.4,0.9,2.3,1.8,1.7,2.7,2,1.3,3.3,2.3,2.6,2.2,2.4,,,,,,,,,,,,,,,,,,,,,, 
Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Romania,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.7,,,,,,,,,,,,,,,,,,,, 
Russian Federation,,0.9,0.8,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,,,,,,,,,,,,,,,,,,,, 
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Lucia,,,8.1,7.9,4.2,6,2,4.7,3,,7.6,4.3,5.1,8.7,3.3,10.8,4.5,4,5.4,7,8,,,,,,,,,,,,,,,,, 
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Vincent and Grenadines,,9.5,8.5,12.6,14.4,11.4,14.7,11.9,16.7,8.3,9.4,1.9,5.9,5.5,12.1,11.8,3.8,,,,,,,,,,,,,,,,,,,,, 
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
