"ASDR per 100 000 - Total deaths, ICD chapter 17 (Congenital malformations, deformations, abnormalities), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,5.4,3.9,,,,, 
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Serbia,,2.2,2.9,2.6,2.4,3,3.5,3.2,3.7,3.6,3.8,3.6,4.6,4.1,4.5,5.3,5.5,5,5.5,,,,,,,,,,,,,,,,,,, 
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,3.2,6.5,,,,,, 
Singapore,,2,1.7,1.6,2.1,1.8,2.1,2,1.9,1.8,2.6,2.6,2,2.2,2.4,2.8,3,3.5,3.7,3.6,4.1,5.4,4.8,5.4,5.6,5.3,7.4,6.3,5.8,7.7,8.7,8,7.6,6.5,7.7,7.7,8.8,7.9 
Slovakia,,,4.8,5.2,4.1,,4.1,4.4,4.1,4.3,4.7,4.8,4.3,5.6,5.9,4.4,5.3,4.9,4.8,4.5,4.9,6.1,5.9,5.7,6.6,,,,,,,,,,,,, 
Slovenia,,1.6,2.5,2.5,2.5,2.4,1.8,2.1,2.3,3.5,2.6,3,4.2,3.8,4.4,3.9,4.3,4.8,5.6,5.3,5.4,5.3,5.2,6.4,7.2,6,7.4,5.9,6.3,6.2,8.8,7.2,,,,,, 
South Africa,,3.6,3.5,3.2,3.5,3.2,3,3.1,3.2,3.6,3.1,3.7,3.5,3.5,3.4,,,,,,,,,,,,,,,,,,,,,,, 
Spain,,2.1,2.2,2,2.2,2.6,2.6,2.5,2.7,2.6,3,3.1,3.2,3.5,3.5,3.4,4.1,4.4,4.4,4.7,4.8,4.8,5.3,5.6,5.8,5.5,5.5,5.4,5.8,5.8,6,5.7,6.3,6.7,6.4,7.1,6.9, 
Sri Lanka,,,,,,,,,,,5.6,,,4.8,3.1,5.4,2.9,2.5,2.5,3.1,2.3,,,,,,,,,,2.3,2.2,1.9,2.4,2.3,2,2.4, 
Suriname,,,5.2,6.1,4.5,5.9,5.2,5.8,7.3,6.6,5,4.1,4.6,4.4,5.5,5.1,4,2,2.5,3.4,2.3,2.8,,,1.9,3.7,5.8,4.6,3.8,3.6,5.9,10.9,6.2,,7.5,5.4,7.1,8.2 
Sweden,3,2.1,2.6,2.6,2.4,2.2,2.4,2.5,2.3,2.9,3.2,3,3.3,3.1,3.3,3.5,4,3.5,3.7,3.9,3.8,4.1,4.2,4.4,5.1,5.8,5.6,5.6,5.3,5.6,,,,,,,, 
Switzerland,,4,4,4.4,3.9,3.9,3.6,3.6,3.6,3.6,4.5,4.4,3.9,4.3,4.2,4.4,4.7,4.7,4.7,5,5.1,5,,,,,,,,,,,,,,,, 
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
TFYR Macedonia,,,,2.2,1.2,1.7,2.2,3.2,3.8,4.3,3.9,3.7,4.4,6.3,4.2,4.8,4.5,5.4,5.4,4.3,4.3,4.7,5.4,5.8,6.9,6.5,,,,,,,,,,,, 
