"ASDR per 100 000 - Total deaths, ICD chapter 9 (Diseases of the circulatory system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Lithuania,309,319.2,311.1,328.7,335,341.9,356.4,359.3,375.8,400.4,407.5,406.2,389.6,390.4,398,399,382.2,399.9,409.1,418.6,437,454.8,459.3,470.5,421.1,429.8,438,423.2,431.4,439.9,427.5,466.8,,,411.3,423.6,, 
Luxembourg,,92.9,97.6,102.7,110.6,119.6,122.2,133,138.4,150.2,166.5,162,163,190.1,177.5,181.1,173.1,184.9,197.5,206.1,223.1,211.7,221.7,239.5,248.3,253.4,273.3,298.3,298.8,323.3,326.1,342.1,358.4,359.9,349.3,364,378.6,387.1 
Macau,,,,,,,,,,,,,,,,,,,,,,,161.4,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,,,,,,236.5,260,,235,267.6,,41.5,135.4,311.4,251.5,267.5,33.1,,,,,,,,,,,,,,,,,,,,, 
Malta,,133.3,128.2,138.7,177.2,169.6,139,155.4,166.3,170.6,191.3,200.6,189,214.6,214.8,212.1,239.8,267.6,243.9,249.5,247.1,237.6,253.5,279.2,293.2,322,316.8,315.9,364.8,466.5,462.6,401.6,420.5,502.2,481.1,944.7,795,722.1 
Martinique,,,83.6,76,,77.8,89,87.1,97.4,101,96.8,94,113.9,116,121.8,126.8,140.6,,,,,,,,,,,,,,,261.2,,,196.6,229.8,, 
Mauritius,232.7,217.7,211.4,207.8,224.3,223.7,237.4,248.8,274.3,278.3,307.6,306.8,417.8,437.9,435.1,410.1,431.3,441.9,455.9,455.6,422.8,410,433.2,460.1,410.1,432.5,434.5,480.2,460.7,500.8,500.2,537.1,540.4,522.9,623.5,560.6,, 
Mayotte,,,113.9,73,77.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,,144.7,142.4,138.4,140.1,141.3,148,143.9,146.3,141.8,141.6,148.2,146.8,151.5,150.8,148.8,151.6,157,162.9,172,174.4,213.6,214.4,209.1,207.5,198.6,202.4,206.3,205.7,198.4,198.7,206.1,133.2,220.6,211.2,218.8,148.6,150.2 
